# YEA	MON	DAY	NAME

 1600	8	30	Gouillot-Gorju
 1771	9	10	Talma Mme
 1777	6	5	Duchesnois Mlle
 1791	5	31	Dupont Mlle
 1796	8	26	Legrand Jean-Baptiste
 1796	11	10	Ligier Pierre
 1796	11	25	Francisque Aine
 1797	5	16	Lafont Pierre
 1797	11	25	Aniel Pierre
 1798	1	6	Dorval Marie
 1798	1	29	Provost Jean
 1798	3	5	Brocard Suzanne
 1798	8	30	Dejazet Virginie
 1799	5	18	Lafont Leger
 1799	6	2	Mante Louise
 1799	11	7	Bocage (Touze)
 1800	2	20	Geniez Jacques
 1800	2	21	Perrin Mme
 1800	4	25	Numa (Haering)
 1800	7	28	Lemaitre Frederic
 1800	9	4	Bouffe Marie
 1801	1	6	Delaistre Jean
 1801	1	7	Danceray Charles
 1801	1	29	Jenneval (Dechet)
 1801	3	13	Berat Frederic
 1801	10	13	Beauvallet Pierre
 1802	6	22	Anais Mlle
 1804	7	30	Geffroy Edmond
 1804	12	2	Chilly Charles
 1805	10	20	Albert Lucy
 1806	4	12	Laferriere
 1806	9	6	Mirecour (Tranchant)
 1807	1	29	Brohan Suzanne
 1807	4	1	Regnier Francois
 1807	4	16	Melingue Etienne
 1808	1	22	Levassor Pierre
 1808	5	20	Hachin Georges
 1808	7	20	Francisque Jeune
 1808	11	4	Achard Pierre
 1808	11	5	Colon Jenny
 1808	11	26	David-Levy Adelaide
 1809	8	20	Gabusi Malfatti Carolina
 1809	10	11	Guyon Jean
 1810	4	2	Noblet Alexandrine
 1810	5	21	Hoffman Andre
 1810	12	9	Maillart Adolphe
 1811	2	25	Monlaur Jean
 1811	5	13	Ferrier Ida
 1812	12	24	Grafetot Alexandre
 1814	4	15	Hyacinthe (Duflost)
 1815	2	15	Aras Amelie D'
 1815	10	23	Bressant Jean
 1816	9	3	Nathalie Mlle
 1817	2	5	Valnay Jacques
 1817	2	6	Delannoy Leopold
 1818	8	15	Robert (Lassey)
 1818	9	5	Bellevaut Gilles
 1819	3	16	Veret Rosalie
 1819	3	21	Farguiel Anais
 1819	4	13	Schepens Adolphe
 1819	4	14	Barre Leopold
 1819	5	18	Chotel Alexandre
 1819	6	29	Leroux Paul
 1819	7	14	Arnault Francois
 1819	9	7	Arnould-Plessy
 1819	12	8	Georges Jacques
 1820	1	8	Beigbeder Julie
 1820	2	20	Nadaud Charles
 1820	2	24	Anselme (Bert)
 1820	6	11	Baron Vincent
 1821	8	15	Avenel Marie
 1821	8	23	Maubant Henry
 1821	10	2	Guyon Emilie
 1822	5	9	Blaizot Louis
 1822	7	22	Petito Antonio
 1822	10	1	Got Edmond
 1822	10	20	Doze Leocadie
 1823	5	31	Schrivaneck Augustine
 1823	12	6	Denain Pauline
 1824	6	29	Passerat Edouard
 1824	8	16	Dupuis Adolphe
 1824	10	23	Fechter Charles
 1824	10	27	Cheri Rose
 1824	12	2	Brohan Augustine
 1825	6	22	Laurent Marie
 1825	6	30	Herve Florimond
 1826	3	21	Delaunay Louis
 1826	4	13	Hugon Antoinette
 1826	10	8	Potel Anne
 1826	12	20	Ponsarde Renee
 1827	1	30	Judith (Bernat)
 1827	3	25	Job Achille
 1828	2	27	Morin Leonard
 1828	12	14	Berthelier Jean
 1829	1	6	Garraud Louis
 1829	12	3	Jouassin Catherine
 1830	1	16	Lemaitre Antoine
 1830	3	23	Truchmann Jules
 1830	5	29	Thiron Charles
 1830	6	6	Buthiau Louis
 1830	7	6	Felix Adelaide
 1830	7	7	Jean Paul
 1831	2	16	Achard Leon
 1831	2	28	Negri Falconi Adelaide
 1831	3	28	Genat Fanny
 1831	3	30	Feraudy Francoise
 1831	4	11	Levy Amelie
 1831	6	17	Dumaine (Person)
 1831	8	11	Arrene Elisa
 1831	9	6	Demarsils Frederic
 1831	12	19	Valerie Josephine
 1832	1	12	Gilles Francois
 1832	1	12	Saint-Germain (Gilles)
 1832	4	5	Bilhaut Helene
 1832	9	18	Agar Madame
 1832	12	22	Coblentz Anna
 1833	2	16	Favart (Pingaud)
 1833	5	5	Grenier Pierre
 1833	5	17	Berengere (Bunau)
