# YEA	MON	DAY	NAME

 1794	8	9	Valenciennes Achille
 1795	10	26	Lottin Victor
 1796	1	17	Stievenart Francois
 1796	12	2	Boutron-Charlard Antoine
 1796	12	6	Robinet Stephane
 1797	2	2	Guislan Joseph
 1797	4	22	Poiseuille Jean
 1797	10	4	Savary Felix
 1797	10	6	Sauveur Joseph
#此無資料
 1798	2	15	Devergie Marie
 1798	11	27	Henry Etienne
 1799	1	26	Clapeyron Benoit
 1800	3	25	Leroy Jos
 1800	5	15	Gambart Adolphe
 1800	6	14	Devroede Jean
 1800	8	29	Pouchet Felix
 1800	9	22	Lassaigue Jean
 1800	11	29	Marinus Romuald
 1800	12	30	Dessaignes Victor
 1801	1	8	Dausse Marie
 1801	1	14	Brongniart Adolphe
 1801	2	1	Littre Emile
#兩個 1801/2/1 但只有一筆資料
 1801	2	1	Littre Maximilien
 1801	3	4	Philippe Adrien
 1801	3	11	Guerin Jules
 1801	4	5	Dujardin Felix
 1801	5	5	Berchem Henri
 1801	5	15	Fournet Joseph
 1801	6	4	Delwart Louis
 1801	8	22	Timmermans Jean
 1801	10	14	Plateau Joseph
 1801	10	14	Trousseau Armand
 1801	11	17	Robert Cesar
 1801	12	1	Cantraine Francois
#此無資料
 1801	12	11	Trebuchet Adolphe
 1802	1	7	Chazallon Antoine
 1802	2	11	Parade Adolphe
 1802	2	19	Lequime Joseph
 1802	2	19	Sotteau Auguste
 1802	3	10	Ansiaux Nicolas
 1802	4	28	Lecoq Henri
 1802	6	24	Brasseur Jean
 1802	8	29	Biervliet Antoine
 1802	9	24	Huevel Jean
 1802	9	30	Balard Antoine
 1802	10	28	Serre Auguste
 1802	12	4	Chalon Regnier
 1802	12	17	Jobert Antoine
 1802	12	26	Combes Charles
 1803	1	17	Kickx Jean
 1803	2	16	Stoeber Daniel
 1803	5	15	Lecadre Adolphe
 1803	5	22	Kuhlmann Frederic
 1803	7	3	Seguier Armand
 1803	8	15	Requin Achille
 1803	9	9	Mareska Joseph
 1803	10	2	Nobele Edouard
 1803	11	16	Girardin Jean
 1803	12	14	Stoltz Joseph
 1804	4	15	Lelut Louis
 1804	5	7	Moquin-Tandon Christian
 1804	7	15	Magne Jean
 1804	8	25	Dortet Tessan Urbain
 1804	9	4	Huguier Pierre
 1804	9	18	Sedillot Charles
 1804	9	29	Steichen Michel
 1804	10	28	Verhulst Pierre
 1804	12	22	Breguet Louis
 1804	12	22	Chassaignac Pierre
 1805	2	11	Renault Thomas
 1805	2	12	Malle Pierre
 1805	2	13	Delafond Henri
 1805	6	10	Bortier Pierre
 1805	6	12	Latour Amedee
 1805	11	17	Craninx Pierre
 1806	1	16	Jacquemier Jean
 1806	1	18	Courtois Richard
 1806	2	6	Martins Charles
 1806	2	14	Malaigne Francois
 1806	3	2	Paris Francois
 1806	3	6	Block Guill
 1806	5	7	Baudrimont Alexandre
 1806	5	8	Beau Joseph
 1806	7	5	Verguette-Lamotte Alfred
 1806	7	23	Bouchardat Appolinaire
 1806	7	30	Etoc-Demazy Gustave
 1806	9	23	Verheyen Pierre
 1806	9	24	Barth Jean
 1806	10	8	Burggraeve Adolphe
 1807	2	26	Pelouze Jules
 1807	3	3	Morren Charles
 1807	3	25	Godron Alexandre
 1807	5	10	Coste Jean
 1807	6	1	Broeckx Corneille
 1807	7	3	Manilius Joseph
 1807	10	18	Matheron Philippe
 1807	10	21	Duprez Francois
 1807	11	5	Mialhe Louis
 1808	2	4	Denonvilliers Charles
 1808	2	5	Blondlot Nicolas
 1808	3	25	Cazeaux Pierre
 1808	7	19	Damour Auguste
 1808	8	18	Michaux Maximilien
 1808	9	6	Senarmont Henri
 1808	9	15	Billet Felix
 1808	9	18	Larrey Felix
 1808	10	2	Pidoux Hermann
 1808	10	13	Wemaer Eugene
 1808	10	22	Maus Henri
 1808	11	6	Marrotte Joseph
 1808	12	11	Carolus Jean
 1809	1	28	Gavarret Louis
 1809	2	15	Dumont Andre
 1809	3	7	Mauvais Victor
 1809	3	20	Bonnet Amedee
 1809	3	20	Gerdy Joseph
 1809	3	24	Liouville Joseph
 1809	3	25	Baillarger Jules
 1809	5	3	Koninck Laurent
 1809	5	6	Hairion Frederic
 1809	5	26	Nivet Annet
 1809	9	4	Menabrea Louis
 1809	10	5	Voillemier Leon
 1809	10	31	Charcellay-Laplace L
 1809	12	1	Hirtz Mathieu
 1809	12	19	Beneden Pierre
 1810	1	9	Roosbroeck Jean
 1810	1	21	Tourdes Gabriel
 1810	1	23	Albert Paul
 1810	2	10	Quatrefages Breau Jean
 1810	4	23	Belgrand Marie
 1810	6	17	Mailly Nicolas
 1810	7	16	Petit Frederic
 1810	8	2	Soupart Floribert
 1810	8	7	Duval-Jouve Joseph
 1810	8	10	Sappey Constant
 1810	8	15	Chevandier Valdrome Eugene
 1811	1	19	Woillez Eugene
 1811	2	10	Grisolle Augustin
 1811	2	19	Boileau Pierre
 1811	3	17	Matthyssens Francois
 1811	5	11	Gobley Nicolas
 1811	5	21	Devyvere Ernest
 1811	5	25	Ginderachten Jean
 1811	5	25	Longet Francois
 1811	5	31	Caligny Anatole
 1811	6	27	Vallez Pierre
 1811	7	14	Sovet Alex
 1811	7	26	Depaul Jean
 1811	8	6	Barthez Antoine
 1811	8	23	Bravais Auguste
 1811	10	12	Melckebeke Guillaume
 1811	10	27	Duchartre Pierre
 1811	10	29	Fossion Nicolas
 1812	1	2	Diday Paul
 1812	1	3	Bouchacourt Antoine
 1812	1	6	Landouzy Marc
 1812	1	22	Malcorps Francois
 1812	2	13	Gasparin Paul
 1812	2	13	Thiernesse Theodore
 1812	2	28	Fave Ildephonse
 1812	3	16	Garreau Lazare
 1812	3	19	Davaine Casimir
 1812	5	17	Pissis Aime
 1812	6	12	Hebert Edmond
 1812	6	22	Devilliers Charles
 1812	7	11	Joly Nicolas
 1812	7	24	Cunier Florent
 1812	7	31	Pypers Joseph
 1812	8	10	Rolland Eugene
 1812	11	14	Pierre Isidore
 1812	11	19	Jurien Graviere Edmond
 1812	11	30	Dumeril Auguste
 1812	12	22	Laugier Paul
 1813	1	16	Yvon-Villarceau Antoine
 1813	2	20	Favre Pierre
 1813	3	8	Westendorp Gerard
 1813	3	10	Roubaix Louis
 1813	4	13	Teissier Benoit
 1813	5	6	Vrancken Joseph
 1813	7	12	Bernard Claude
 1813	7	30	Debrou Toussaint
 1813	8	16	Molewater Jan
 1813	8	21	Stas Jean
 1813	8	26	Behier Louis
 1813	10	16	Vigla Eugene
 1813	11	7	Fauvel Sulpice
 1813	11	30	Chatin Gaspard
 1814	2	22	Fremy Edmond
 1814	2	25	Hanot Gaspard
 1814	4	3	Duche Emile
 1814	5	25	Bourdon Alexis
 1814	6	4	Bardinet Alphonse
 1814	6	25	Daubree Gabriel
 1814	7	11	Melsens Louis
 1814	9	1	Barallier Auguste
 1814	9	12	Herrgott Francois
 1814	10	1	Faye Herve
 1814	10	7	Filhol Edouard
 1814	10	12	Tresca Henri
 1814	11	2	Kempen Etienne
 1814	11	15	Meynne Armand
 1814	12	20	La Gournerie Jules
 1815	2	9	Bertherand Alphonse
 1815	2	18	Liagre Jean
 1815	3	2	Buignet Henri
 1815	3	20	Poelman Charles
 1815	3	29	Oulmont Nathan
 1815	7	10	Gratiolet Pierre
 1815	8	14	Naudin Charles
 1815	8	21	Hirn Gustave
 1815	8	28	Parise Jean
 1815	9	12	Tulasne Louis
 1815	9	24	Durand-Fardel Charles
 1815	10	3	Fredericq Louis
 1815	11	12	Bougard J
 1815	12	15	Hillairet Jean
 1816	1	28	Pilat Eugene
 1816	3	2	Lambotte Henri
 1816	3	16	Richet Alfred
 1816	5	31	Giraud-Teulon Marc
 1816	7	18	Loir Jean
 1816	7	28	Roussel Theophile
 1816	7	30	Seux Louis
 1816	8	9	Guerin Alphonse
 1816	8	21	Gerhardt Charles
 1816	8	26	Marchand Eugene
 1816	9	5	Lasegue Ernest
 1816	10	15	Bechamps Pierre
 1816	10	15	Dupuy Lome Henri
 1816	10	17	Personne Jacques
 1816	10	31	Reynal Jean
 1816	12	8	Bourguet Eugene
 1816	12	25	Lallemand Alexandre
 1817	1	4	Borlee Josef
 1817	2	3	Delesse Achille
 1817	3	7	Thiry Jean
 1817	5	11	Belpaire Alphonse
 1817	5	21	Riggenbach Nicolas
 1817	7	12	Desains Paul
 1817	8	23	Chereau Achille
 1817	8	27	Bergeron Jules
 1817	10	10	Buys-Ballot Christophorus
 1817	11	26	Wurtz Adolphe
 1818	1	8	Trecul Auguste
 1818	1	24	Burdel Simon
 1818	1	28	Louyet Paulin
 1818	2	6	See Germain
 1818	3	10	Tardieu Ambroise
 1818	5	27	Donders Cornelis
 1818	8	3	Delpech Auguste
 1818	9	4	Hervieux Jacques
 1818	10	1	Bruck Nicolas
 1818	10	11	Cloquet Louis
 1818	11	22	Glenard Alexandre
 1818	11	23	Levieux Jean
 1819	1	8	Montigny Marie
 1819	1	9	Kupfferschlaeger Isidore
 1819	1	21	Bernutz Gustave
 1819	2	7	Morvan Augustin
 1819	3	3	Gille Norbert
 1819	3	11	Fays Francois
 1819	4	15	Laussedat Aime
 1819	5	20	Boutet Antoine
 1819	7	22	Cosson Ernest
 1819	7	25	Lefort Jules
 1819	8	16	Merget Antoine
 1819	8	30	Serret Joseph
 1819	9	7	Bouquet Jean
 1819	9	16	Desgranges Antoine
 1819	9	23	Fizeau Armand
 1819	10	1	Herard Hippolyte
 1819	10	6	Themard Arnould
 1819	10	30	Rochard Jules
 1819	12	22	Bonnet Pierre
 1819	12	22	Penard Louis
 1820	1	18	Mares Henri
 1820	2	3	Gintrac Henri
 1820	3	24	Becquerel Alexandre
 1820	4	16	Puiseux Victor
 1820	5	1	Legouest Antoine
 1820	7	3	Jonquieres Ernest
 1820	8	29	Valerius Hubert
 1820	9	10	Baillet Casimir
 1820	10	1	Blanche Antoine
 1820	10	7	Houzeau Charles
 1820	10	17	Roche Edouard
 1820	11	26	Regnaud Jules
 1820	11	26	Warlomont Evariste
 1821	1	18	Moutard-Martin Eugene
 1821	3	6	Moncel Theodore
 1821	3	17	Den Broeck Victor
 1821	3	20	Lefebvre Ferdinand
 1821	4	4	Gubler Adolphe
 1821	4	20	Corput Bernard
 1821	5	21	Phillips Edouard
 1821	5	25	Clos Dominique
 1821	6	4	Robin Charles
 1821	6	6	Colnet Huart Alexandre
 1821	7	31	Mangon Charles
 1821	9	20	Pomel Auguste
 1822	1	18	Chancel Gustave
 1822	1	31	Donny Francois
