# 2154 French Physicians, Military Men and Executives. Serie E, volume 1 : from 1901 to 1963 
# http://cura.free.fr/gauq/902gdE1.html
# 沒有地點的經緯度！
# NUM	  PRO      NAME              	             DAY   MON   YEA     H        CITY                     COD

0001    PH       ABELY Xavier                    24    03    1890    08:00    Verdun sur Garonne        82
0002    EX       ABILE-GAL Jean Baptiste         10    02    1901    11:00    Carmaux                   81
0002b   PH       ABONNEUC Louis André            14    10    1883    18:00    St Sébastien              38
0003    PH       ACHER DUBOIS Xavier             18    04    1914    17:00    La Roche sur Yon          85
0004    MI       ADENOT Noël                     25    12    1905    11:00    Le Creusot                71
0005    PH       AGACHE Pierre                   08    06    1927    17:10    Roubaix                   59
0006    MI     * AILLERET CHARLES                26    03    1907    15:00    Mantes-la-Jolie           78
0007    PH       ALBERTIN Robert                 22    11    1900    18:00    Bourg-en-Bresse           01
0008    PH     + ALBOT Guy François              12    09    1903    03:35    Asnières                  75
0009    PH       ALEXANDRE Michel-Olivier        16    04    1923    23:00    Honfleur                  14
0010    PH       ALGAN Bernard                   06    01    1919    12:00    Chaumont                  52
0011    PH       ALIBERT André                   23    03    1901    02:00    St-Lô                     50
0012    MI       ALIBERT Pierre                  23    12    1920    17:00    Gaillac-sur-Tarn          81
0013    MI       ALLAIS Louis                    29    04    1908    09:00    Chalons sur Marne         51
0014    MI       ALLARD Jacques                  16    11    1903    12:00    Grainville-Ymauville      76
0015    EX       AMALOU Pierre                   02    02    1933    10:00    Marseille                 13
0016    PH       AMALRIC Pierre                  24    06    1923    13:30    Vielmur                   81
0017    EX       AMAURY Emilien                  05    03    1909    02:30    Etampes                   91
0018    EX       AMIEL Maurice                   08    06    1931    11:00    Vannes                    56
0019    MI       AMMAN Maurice                   16    10    1904    05:30    St Maur                   94
0020    MI       ANDRE Georges                   12    12    1903    03:00    Aix en Provence           13
0021    EX       ANDRE Jean Marie d'             24    01    1914    08:00    Soisy sous Montmoren      78
0022    PH       ANDRE Roger                     12    12    1899    21:00    Ravel                     63
0023    MI     L ANDRIEUX Jacques                15    08    1917    15:00    Lorient                   56
0024    EX       ANGOULVENT Paul                 21    04    1899    16:00    Le Mans                   72
0025    PH       APPAIX André                    11    03    1908    16:00    Romans                    26
# 不知道是哪個 Romans ( Romans, Ain / Romans, Deux-Sèvres )
0026    MI       APPERT Pierre                   10    10    1910    10:00    Cognac                    16
0027    EX       ARCHAMBAULT Pierre              24    06    1912    01:00    Tours                     37
0028    PH       ARDISSON Henri                  15    07    1913    22:00    Nice                      06
0029    PH     + ARDOIN François                 03    11    1897    10:00    Bourges                   18
0030    PH       ARDOUIN Paul                    15    01    1897    01:00    St Gaudens                31
0031    PH     - ARENE Joseph                    20    02    1889    00:05    Bagnols                   30
0032    MI     * ARGOUD Antoine                  26    06    1914    04:00    Darney                    88
0033    PH       ARLET Jacques                   29    09    1920    17:00    Nancy                     54
0034    MI     L ARMAND Louis                    17    01    1905    10:00    Cruseilles                74
0035    PH       ARNOUS Jean                     27    07    1908    03:00    Trélazé                   49
0036    MI       ARNOUX Jacques                  16    06    1917    01:00    Baccarat                  54
0037    PH     + ARNULF Georges                  17    06    1904    09:30    Evian les Bains           74
0038    PH       ARON-BRUNETIERE Robert          26    01    1915    23:00    Nancy                     54
0039    PH       ARTHUS André                    27    01    1903    05:00    Lille                     59
0040    MI    L* ASTIER DE LA VIGERIE Henri      11    09    1897    07:00    Villedieu sur Indre       36
0041    EX       AUBOIROUX Marie Suzanne         19    05    1919    10:00    Limoges                   87
0042    PH       AUBRIOT Paul                    06    06    1888    01:00    Bar le Duc                55
0043    EX       AUBRY François Léon             22    10    1908    06:00    Pont à Mousson            54
0044    EX       AUBRY Jacques                   10    07    1937    16:45    Clichy                    75
0045    PH     + AUBRY Maurice Charles           06    04    1899    17:00    Prunay le Gillon          28
0046    MI       AUBRY Pierre                    29    08    1911    19:00    Brousseval                52
0047    PH       AUCLAIR Jean Marie              27    05    1902    07:00    Bourges                   18
0048    PH       AUDOUZE Lucien                  17    03    1909    23:00    Tercillat                 23
0049    EX       AUGE André                      07    03    1912    06:00    Marseille                 13
0050    MI     * AUGEY DU FRESSE Louis           27    03    1829    07:30    Riberac                   24
0051    MI       AVON Maurice                    06    09    1918    05:00    Monteux                   84
0052    MI     * AVON Simon                      25    05    1867    11:00    Vincennes                 94
0053    EX       BAGGIO Pierre                   08    10    1900    23:00    Dunkerque                 59
0054    EX       BAILLE Hubert                   15    07    1900    05:00    Sète                      34
0055    PH       BAILLET Paul                    07    07    1914    23:15    Montrouge                 92
0056    MI       BAILLEUX Fernand                03    07    1908    14:00    Colombes                  75
0057    EX       BAILLY Christian                01    11    1929    23:00    Hesdin                    62
0058    MI       BAILLY Paul                     02    09    1903    05:00    Nice                      06
0059    PH       BAISSET Antoine                 03    09    1907    08:00    St Papoul                 11
0060    PH     - BALANS Georges                  14    05    1906    01:00    Bordeaux                  33
0061    MI     L BALLET Jacques                  19    02    1908    23:00    Neufchâteau               88
0062    PH       BALLOT Henri                    22    07    1909    21:00    Brienon sur Armançon      89
0063    EX       BALMAIN Pierre                  18    05    1914    08:15    St Jean de Maurienne      73
0064    EX       BAR Jacques Jean Louis          12    09    1921    19:00    Châteauroux               36
0065    PH       BARANGER Jacques                07    11    1894    12:00    Orléans                   45
0066    MI       BARBE Georges                   22    03    1905    08:00    Meudon                    78
0067    MI     L BARBERON Bernard                28    08    1916    01:00    Paris 17ème               75
0068    MI     L BARBEROT Roger                  20    01    1915    10:00    Cherbourg                 50
0069    PH     - BARBIER Pierre                  02    01    1912    15:30    Brinon sur Beuvron        58
0070    EX       BARBU Marcel                    17    10    1907    20:00    Nanterre                  92
0071    EX       BARETS Jean                     07    11    1921    09:00    Biarritz                  64
0072    PH     - BARON Christian                 09    10    1930    11:30    Dijon                     21
0073    PH       DARON Paul                      08    11    1899    15:15    Dijon                     21
0074    EX       BARRAULT Jean-Louis             08    09    1910    06:00    Le Vésinet                78
0075    PH       BARRAYA Louis                   16    02    1909    11:00    Nice                      06
0076    EX       BARRET Pierre                   15    07    1936    23:00    Firminy                   42
0077    EX       BARROUSSEL Pierre               19    10    1894    05:00    Pessac                    33
0078    EX       BARTHELEMY Adrien               05    05    1914    01:00    Belmont                   12
0079    MI       BARTHELEMY Maurice Louis        24    03    1914    05:30    St-Quentin                02
0080    MI       BARTHELEMY Raymond              10    03    1910    06:00    Azerailles                54
0081    MI       BARTHES Louis                   05    05    1918    06:00    St-Macaire                33
0082    EX       BARTOLI Georges                 23    05    1926    06:00    Marseille                 13
0083    PH     + BARUK Henri                     15    08    1897    02:00    St-Avé                    56
0084    PH       BARUT Charles                   17    06    1923    01:00    Chambéry                  73
0085    MI       BASSET Jacques                  13    04    1905    04:00    Mauriac                   15
0086    EX       BASSINET André                  25    02    1899    03:00    Réalmont                  81
0087    EX       BATAILLE Robert                 30    05    1921    08:00    Perpignan                 66
0088    MI       BATLLE Sébastien                19    03    1914    12:00    Llupia                    66
0089    PH       BATTEUR Henri                   10    11    1910    03:00    Roubaix                   59
0090    PH       BAUCHOT Roland                  24    02    1929    06:15    Les Lilas                 93
0091    EX       BAUDOT Jean Claude              23    06    1934    19:00    Bar-le-Duc                55
0092    EX       BAUDRIER Jacqueline (VIBERT)    16    03    1922    20:30    Beaufai                   61
0093    PH       BAULIEU Etienne                 12    12    1926    04:30    Strasbourg                67
0094    MI     L BAUMEL Jacques                  06    03    1918    16:00    Marseille                 13
