# YEA	MON	DAY	NAME

 1795	5	10	Thierry Augustin
 1795	8	30	Tastu Amable
 1796	5	8	Mignet Auguste
 1797	1	21	Mery Joseph
 1797	3	27	Vigny Alfred
 1798	1	19	Comte Auguste
 1799	3	5	Bosret Nicolas
 1799	5	20	Balzac Honore
 1800	5	10	Carrel Armand
 1800	12	23	Soulie Frederic
 1801	3	13	Berat Frederic
 1801	4	11	Tillier Claude
 1801	8	28	Cournot Antoine
 1802	2	23	Desnoyers Louis
 1802	2	26	Hugo Victor
 1802	2	27	Lebrun Firmin
 1802	5	12	Lacordaire Jean
 1802	6	3	Carton Charles
 1802	7	24	Dumas Alexandre
 1803	2	17	Quinet Edgar
 1803	3	17	Toussenel Alphonse
 1803	9	10	Gozlan Leon
 1803	9	12	Brizeux Auguste
 1803	9	20	Buloz Francois
 1804	1	26	Sue Eugene
 1804	2	16	Janin Jules
 1804	2	25	Bernard Charles
 1804	6	22	Mathieu Adolphe
 1804	8	1	Dash Gabrielle
 1804	12	23	Sainte-Beuve Charles
 1805	2	8	Blanqui Louis
 1805	3	30	Gatry Auguste
 1805	9	30	Jouhaud Auguste
 1806	2	14	Reynaud Jean
 1806	3	20	Nisard Desire
 1806	4	15	Souvestre Emile
 1808	6	22	Marmier Xavier
 1808	7	15	Demanet Armand
 1808	9	25	De Meyer-Roelandts Victor
 1808	10	12	Considerant Victor
 1808	11	2	Barbey Aurevilly Jules
 1808	12	6	Dautzenberg Johan
 1809	1	15	Proudhon Pierre
 1809	1	17	Cheruel Pierre
 1809	6	29	Borel Joseph
 1809	7	21	Snellaert Ferdinand
 1809	7	29	Vacherot Etienne
 1809	8	16	Forneret Xavier
 1809	10	2	Franck Adolphe
 1809	12	16	Lafont Charles
 1810	2	10	Quatrefages Breau Jean
 1810	2	20	Martin Henri
 1810	8	19	Vleeschouwer Lodewijk
 1810	12	11	Musset Alfred
 1811	1	1	Peene Hippoliet
 1811	2	19	Sandeau Jules
 1811	7	16	Montmarin Armand
 1811	7	19	Gaucet Joseph
 1811	8	30	Gautier Theophile
 1811	11	28	Clairville Louis
 1812	1	13	Laprade Victor
 1812	11	21	Snieders Jan
 1812	12	3	Conscience Henry
 1813	10	11	Veuillot Louis
 1813	10	23	Ravaisson-Molliere Felix
 1814	1	29	Lequier Jules
 1814	3	28	Houssaye Arsene
 1814	6	1	Ponsard Francois
 1814	9	13	Beets Nicolas
 1814	9	25	Breuk Henrik
 1814	12	27	Simon Jules
 1815	1	1	Renouvier Charles
 1815	5	6	Labiche Eugene
 1815	12	8	Carrein Frans
 1816	5	30	Clesse Antoine
 1816	9	29	Feval Paul
 1817	2	6	Diephuis Gerhardus
 1817	10	3	Larousse Pierre
 1817	10	17	Lavry Charles
 1817	10	31	Kuitert Berend
 1818	4	2	Quinet Benoit
 1818	6	23	Vissering Simon
 1818	8	8	Roumanille Joseph
 1818	11	10	Kerckhoven Peter
 1819	2	15	Figuier Louis
 1819	4	13	Schepens Adolphe
 1819	8	9	Tiberghien Guillaume
 1819	11	19	Vacquerie Auguste
 1820	2	20	Nadaud Charles
 1820	3	5	Le Pas Andre
 1820	3	25	Barbier Jean
 1820	4	25	Dijkstra Tiede
 1820	9	17	Augier Emile
 1820	10	24	Fromentin Eugene
 1821	4	9	Baudelaire Charles
 1821	5	27	Bouilhet Louis
 1821	8	11	Feuillet Octave
 1821	8	14	Dijkstra Walin
 1821	9	17	Chamfleury Jules
 1821	12	12	Flaubert Gustave
 1822	5	20	Erckmann Emile
 1822	5	26	Goncourt Edmond
 1822	5	29	Appel Willem
 1822	11	19	Calcar-Schiotling Eliza
 1823	2	21	Laffitte Pierre
 1823	2	28	Renan Ernest
 1823	3	14	Banville Theodore
 1823	8	15	Boissier Gaston
 1823	9	12	Delcroix Desire
 1823	11	14	Fruin Robert
 1824	4	16	Bemmel Eugene
 1824	11	8	Sande Felix
 1825	1	28	Heremans Jacques
 1825	2	10	Defrecheux Jean
 1825	3	20	Snoek Age
 1825	3	28	Rotterdam Johan
 1825	4	30	Monselet Charles
 1825	5	8	Snieders Auguste
 1825	6	3	Hoekstra Siebe
 1825	6	23	Montegut Emile
 1825	12	24	Bornier Henri
 1826	3	4	Caro Elme
 1826	4	25	Ablaing Giessenburg Rudolf
 1827	2	22	Candeze Ernest
 1827	3	3	Pire Louis
 1827	3	20	Assolant Alfred
 1827	6	9	Fabre Ferdinand
 1827	10	5	Laroche Hyppolite
 1827	10	8	Sarcey Francisque
 1828	2	8	Verne Jules
 1828	2	14	About Edmond
 1828	2	26	Geiregat Pieter
 1828	2	27	Block Bruno
 1828	3	7	Gondinet Edmond
 1828	4	21	Taine Hippolyte
 1828	6	12	Maurage Maurice
 1828	10	26	Lanfrey Pierre
 1828	11	5	Hello Ernest
 1829	3	26	Aubanel Theodore
 1829	6	7	Fief Jean
 1829	7	8	Ponson Terrail Pierre
 1829	7	19	Cherbuliez Victor
 1829	9	17	Pailleron Edouard
 1829	10	28	Fleuriot Zenaide
 1830	3	15	Reclus Elisee
 1830	4	21	Royer Clemence
 1830	5	20	Malot Hector
 1830	9	8	Mistral Frederic
 1831	1	30	Rochefort-Lucay Henri
 1831	9	30	Delboeuf Joseph
 1831	10	16	Stapleaux Leopold
 1832	4	19	Pirmez Octave
 1832	5	27	Lachelier Jules
 1832	6	9	Droz Gustave
 1832	6	11	Valles Jules
 1832	11	9	Gaboriau Emile
 1832	12	13	Bailly Jules
 1833	1	7	Bonnema Thomas
 1833	8	10	Marcq Leon
 1833	10	8	Theuriet Andre
 1833	11	14	Linde Antonius
 1834	1	4	Potter Frans
 1834	5	20	Frederix Gustave
 1834	5	31	Hiel Emmanuel
 1834	6	21	Cort Frans
 1834	8	17	Benoit Peter
 1834	9	30	Bruylants Jan
 1835	1	10	Loudier Sophronime
 1835	3	15	Cladel Leon
 1835	6	11	Beaudelaire Jean
 1836	10	4	Adam Juliette
 1836	10	8	Bohl Johannes
 1836	10	26	Baarda Johannes
 1836	11	10	Vuylsteke Julien
 1836	11	29	Le Roy Eugene
 1837	4	18	Becque Henri
 1837	4	18	Silvestre Armand
 1837	5	31	Daudet Ernest
 1837	12	6	Roeland Jan
 1838	2	9	Tardieu Charles
 1838	2	14	Billiet Paul
 1838	10	18	Fouillee Alfred
 1838	11	7	Villiers Adam
 1839	3	16	Sully-Prud'Homme Armand
 1839	5	21	Glatigny Joseph
 1839	5	22	Alhaiza Jean
 1839	7	19	Gebhart Emile
 1839	8	9	Paris Gaston
 1839	12	18	Ribot Theodule
 1840	4	2	Zola Emile
 1840	5	13	Daudet Alphonse
 1840	10	10	Pouvillon Emile
 1840	11	10	Velstra Tjeerd
 1840	11	25	Verriest Hugo
 1840	12	3	Claretie Jules
 1841	1	21	Schure Edouard
 1841	5	7	Le Bon Gustave
 1841	5	21	Mendes Catulle
 1842	1	26	Coppee Francois
 1842	2	12	Leroy-Beaulieu Anatole
 1842	2	26	Flammarion Camille
 1842	3	18	Mallarme Stephane
 1842	8	13	Sorel Albert
 1842	10	1	Cros Charles
 1842	12	17	Gittens Frans
 1842	12	17	Lavisse Ernest
 1843	6	26	Arene Paul
 1843	9	21	Haussonville Gabriel
 1843	10	12	Hoorde Joseph
 1844	3	23	Lemonnier Camille
 1844	3	30	Verlaine Paul
 1844	4	16	France Anatole
 1844	5	3	Drumont Edouard
 1844	5	23	Espinas Alfred
 1845	7	18	Corbiere Tristan
 1845	7	28	Boutroux Emile
 1846	2	14	Sabbe Julius
 1846	4	1	Hendrikx August
 1846	6	29	La Gorce Pierre
 1846	7	11	Bloy Leon
 1846	9	2	Deroulede Paul
 1846	9	16	Rabier Jean
 1846	11	16	Boucherij Jan
 1846	12	29	Rollinat Maurice
 1847	3	18	Coppin Jose
 1847	5	10	Buyst Leonard
 1847	6	16	Alexis Paul
 1847	6	28	Gide Charles
 1847	10	4	Boussenard Louis
 1847	11	2	Sorel Georges
