# http://cura.free.fr/gauq/902gdE2e.html
# 11370 New Birth Data (PARIS 15). Series E, volume 2e
# Children born in the years 1923 to 1929 and 1933 to 1935 (Unpublished Data)
# Series E: Planetary Heredity. A Reappraisal on 50,000 subjects (Volume 2e)
# by Michel et Françoise GAUQUELIN
# [3rd CURA's edition, revised by Patrice Guinard : February 2009]
# 沒有醫院資料 , 地點都在巴黎

# Notice , 8224沒有NUM ,手動補上

# NUM : Number : from 1 to 11371 (n. 8870 doesn't exist)
# SEX : M = mother ; F = father ; D = daughter ; S = son
# 沒有 PL (出生地點) !
# DAY : Day of birth
# MON : Month of birth
# YEA : Year of birth
# H : Hour of birth ; Birthtime is converted to standard time, either for zone 0 (= GMT) or -1 (= CET)
# MN : Minutes
# SEC : Seconds
# Ci : Ci code (see the Introduction), sometimes missing
# TZ : Time Zone at the place of birth and date of birth (0 or -1)
# LAT : Latitude of Birth place
# LON : Longitude of Birth place
# COD : Abbreviated Code of Birth place indicating the French "Département"
# (The Birth place is not mentioned)

# 0    1   2   3   4  5  6   7   8   9       10      11  12
# NUM	SEX	DAY	MON	YEA	H	MN	SEC	Ci	TZ      LAT     LON	COD

1	F	19	09	1858	18	50	40	02	0	48N50	2E20	75
2	M	25	08	1889	12	50	40	09	0	48N50	2E20	75
3	S	02	01	1923	15	20	0	02	0	48N50	2E20	75
4	F	29	10	1871	02	50	40		0	48N50	2E20	75
5	M	07	05	1880	04	50	40		0	48N50	2E20	75
6	S	09	10	1924	20	15	0	02	0	48N50	2E20	75
7	F	25	12	1871	08	50	40		0	48N50	2E20	75
8	M	30	10	1893	05	50	40	07	0	48N50	2E20	75
9	S	13	10	1927	10	30	0	17	0	48N50	2E20	75
10	S	14	06	1929	07	0	0	0	0	48N50	2E20	75
11	F	11	07	1872	22	50	40		0	48N50	2E20	75
12	M	09	12	1885	03	50	40	09	0	48N50	2E20	75
13	S	03	10	1924	07	45	0	01	0	48N50	2E20	75
14	S	23	09	1926	01	15	0	08	0	48N50	2E20	75
15	F	09	02	1873	05	50	40		0	48N50	2E20	75
16	M	11	02	1883	21	50	40		0	48N50	2E20	75
17	D	20	10	1924	19	15	0	05	0	48N50	2E20	75
18	F	27	12	1873	11	50	40		0	48N50	2E20	75
19	M	12	04	1884	19	50	40	08	0	48N50	2E20	75
20	S	24	09	1925	08	0	0	18	0	48N50	2E20	75
21	F	19	09	1874	02	50	40		0	48N50	2E20	75
22	M	07	04	1890	03	50	40	08	0	48N50	2E20	75
23	D	15	02	1926	12	55	0	12	0	48N50	2E20	75
24	F	07	07	1876	16	50	40		0	48N50	2E20	75
25	M	26	07	1880	07	50	40		0	48N50	2E20	75
26	D	04	07	1923	09	05	0	01	0	48N50	2E20	75
27	F	10	11	1877	02	50	40		0	48N50	2E20	75
28	M	14	08	1885	10	50	40	01	0	48N50	2E20	75
