# YEA	MON	DAY	NAME

 1800	9	27	Baret Rouvray Charles
 1800	12	24	Penaud Charles
 1801	10	14	Blois Etienne
 1802	2	15	Uhrich J J Alexis
 1802	10	4	Niel Adolphe
 1802	10	7	Bouet Adolphe
 1802	10	14	Bichot Claude
 1803	4	23	Anethau Jules
 1804	1	9	Aurelles Paladines Louis
 1804	1	25	Chabaud-Latour Francois
 1804	2	3	La Motterouge Joseph
 1804	2	8	Ambert Joachim
 1804	4	16	Renard Bruno
 1804	4	24	Bolle Salomon
 1804	7	24	Arbellot Pierre
 1804	8	1	Bendeau Marie
 1804	8	16	Bosc Jean
 1804	11	4	Le Flo Adolphe
 1805	3	6	Bonard Louis
 1805	6	29	Eewens Alexis
 1806	8	14	Bonamy Frederic
 1807	1	12	Guerin Felix
 1807	4	12	Rigaud Genouilly Charles
 1807	4	26	Frossard Charles
 1807	6	28	La Grandiere Pierre
 1807	7	17	Labrousse Nicolas
 1807	8	19	Rittier Francois
 1807	12	10	Ducasse Jean
 1808	1	1	Chazal Pierre
 1808	2	17	Ladmirault Louise
 1808	4	20	Protet Auguste
 1808	4	24	Bouet-Willaumez Louis
 1808	5	15	Barral Eugene
 1808	6	13	Mac-Mahon Marie
 1808	8	15	Duboys-Fresney Etienne
 1808	10	17	Bailliencourt Jerome
 1808	12	5	Jaures Jean
 1809	1	10	Fourichon Martin
 1809	6	27	Canrobert Certain
 1809	7	29	Auger Charles
 1809	9	4	Menabrea Louis
 1809	10	28	Auzouy Pierre
 1809	12	20	Agard Roumejoux Louis
 1810	1	7	Charras Jean
 1810	1	10	Bachelier Joseph
 1810	7	21	Touchard Philippe
 1810	8	30	Arricau Eugene
 1810	9	20	Boistertre Jean
 1810	10	19	Malou Jules
 1810	10	20	Begougne Juniac Jacques
 1810	11	8	Ameil Alfred
 1810	11	8	Bosquet Pierre
 1810	11	22	Collineau Edouard
 1811	2	4	Aubac Alphonse
 1811	2	13	Bazaine Achille
 1811	7	12	Lourmel Frederic
 1811	10	10	Bourlier Antoine
 1811	12	18	Adelsward Renauld
 1812	2	28	Fave Ildephonse
 1812	6	20	Casembroot Eduard
 1812	7	30	Herrmann Alexandre
 1812	9	10	Dupre Louis
 1812	10	17	Blaise Nicolas
 1812	11	19	Jurien Graviere Jean
 1812	11	23	Adam Charles
 1812	12	19	Boisonnet Andre
 1813	2	13	Alet Pierre
 1813	3	1	Bonneau Martray Edmond
 1813	4	25	Barbary Langlade Pierre
 1813	5	19	Bertrand Rene
 1813	11	15	Malkomes Hans
 1813	11	25	Dupre Marie
 1814	1	17	Mieroslawski Louis
 1814	2	3	Lestapis Paul
 1814	3	21	Abraham Adolphe
 1814	3	23	Bertier De Sauvigny Alexis
 1814	5	5	Canu Gustave
 1814	6	12	Hanoteau Louis
 1814	8	3	Di Brocchetti Alfonso
 1814	10	7	Bernis Francois
 1814	11	1	Bar Antoine
 1815	2	18	Liagre Jean
 1815	2	20	Nansouty Charles
 1815	3	12	Trochu Louis
 1815	3	26	Bourgeois Simeon
 1815	4	11	Bonvalet Nicolas
 1815	5	4	Geerling Frederik
 1815	5	20	Sere Rivieres Raymond
 1815	7	28	Bittard Portes Jean
 1815	8	26	Jaureguiberry Jean
 1815	12	24	Boldoni Camillo
 1816	1	23	Benic Francois
 1816	2	24	Dompierre Hornoy Charles
 1816	3	10	Allavene Charles
 1816	4	22	Bourbaki Charles
 1816	5	5	Fabre Jean
 1816	5	10	Barbut Pierre
 1816	8	20	Cambriels Albert
 1816	10	15	Dupuy Lome Stanislas
 1816	12	4	Morcaldi Francesco
 1817	2	13	Aveline Subligny Amedee
 1817	2	17	Melchior
 1817	2	24	Ducrot Auguste
 1817	3	29	Berthaut Jean
 1817	6	12	Appert Felix
 1817	7	5	Metrat Pierre
 1817	7	12	Lecointe Alphonse
 1817	7	26	Casembroot Frans
 1817	9	11	Bloy Jean
 1817	9	20	Gremion Jean
 1817	10	11	Lecoeur Eugene
 1817	10	27	Thibaut Xavier
 1817	11	8	Di Brocchetti Enrico
 1818	4	10	Gicquel Touches Albert
 1818	6	3	Faidherbe Louis
 1818	7	8	Bonvoust Jean
 1818	10	20	Bonie Charles
 1818	11	27	Brasseur Jean
 1819	4	3	Borel Jean
 1819	4	15	Laussedat Aime
 1819	5	4	Campenon Edouard
 1819	6	17	Ansous Felix
 1819	6	26	Beaudouin Louis
 1819	12	26	Berthe Auguste
 1820	1	11	Cosenza Enrico
