# YEA	MON	DAY	NAME

 1801	1	22	Cokken Jean
 1801	9	20	Despreaux Guillaume
 1801	9	22	Guillon Albert
 1801	9	30	Veny Louis
 1802	3	26	Mermet Theodore
 1802	4	16	Ehrhart Charles
 1802	7	7	Bienaime Paul
 1803	6	5	Divoir Adolphe
 1803	7	24	Adam Adolphe
 1803	12	11	Berlioz Hector
 1803	12	12	Bressler Joseph
 1804	6	16	Desmarets Jean
 1804	8	12	Carriere Leopold
 1804	11	6	Barre Apollon
 1806	7	15	Bernard Edouard
 1806	11	24	Coche Victor
 1807	3	16	Arnaud Jean
 1807	10	21	Reber Napoleon
 1807	11	16	Hainl Francois
 1808	1	6	Lamour Charles
 1808	2	13	Millaut Laurent
 1808	3	17	Dietsch Pierre
 1808	4	10	Franchomme Auguste
 1808	9	30	Kroll Francois
 1808	12	25	Lauret Simon
 1809	2	26	Guillion Antoine
 1809	3	23	Cherblanc Jean
 1809	5	24	Urbin Donatien
 1809	7	14	Sauzay Charles
 1810	4	13	David Felicien
 1810	7	16	Alerme Etienne
 1810	10	30	Triebert Charles
 1811	4	14	Le Couppey Felix
 1811	5	22	Marie Claude
 1811	8	5	Thomas Ambroise
 1811	10	14	Rosellen Louis
 1811	11	29	Brahaut Henri
 1811	12	3	Boisselot Dominique
 1812	6	14	Rignault Francois
 1812	11	16	Hubert Louis
 1813	4	23	Millet Louis
 1813	11	30	Alkan Charles
 1814	2	23	Chapelle Edouard
 1814	3	19	Loisel Denis
 1814	4	3	Besozzi Louis
 1814	5	10	Verroust Louis
 1814	6	10	Aupicg Pierre
 1814	6	11	Roger Alexis
 1814	6	30	Carlier Florestan
 1814	10	30	Trenquier Francois
 1815	2	6	Pilet Louis
 1815	2	8	Derennes Jean
 1815	2	21	Henricet Jacques
 1815	3	5	Forestier Joseph
 1815	3	7	Alard Jean
 1815	9	16	Boulanger Henri
 1815	10	28	Artus Amedee
 1816	5	23	Lavigne Antoine
 1816	6	20	Marx Isaak
 1816	7	16	Marmontel Antoine
 1816	8	5	Paulus Jean
 1816	8	21	Brunet Louis
 1816	9	4	Bazin Francois
 1816	9	6	Stutz Jean
 1817	1	29	Petit Ange
 1817	3	23	Dubois Ferdinand
 1817	3	24	Maillart Aime
 1817	4	16	Henricet Nicolas
 1817	5	10	Lecointe Eugene
 1817	6	5	Bisetzki Antoine
 1817	7	28	Seligmann Hippolyte
 1817	10	9	Sabon Joseph
 1817	10	29	Folie Louis
 1817	12	10	Delattre Charles I
 1817	12	10	Handschu Conrad
 1817	12	19	Dancla Jean
 1818	2	16	Petit Charles
 1818	3	12	Bousquet Ange
 1818	3	20	Kohler Frederic
 1818	6	17	Gounod Charles
 1818	6	20	Frisnais Francois
 1818	7	31	Aumond Henri
 1818	11	10	Mascarat Joseph
 1818	11	26	Lacombe Louis
 1819	1	1	Dancla Armand
 1819	1	12	Crevecoeur Joseph
 1819	2	26	Conty Hippolyte
 1819	7	17	Barthe Charles
 1819	7	25	Deffes Pierre
 1819	9	15	Pasdeloup Jules
 1819	11	8	Pilliard Jean
 1819	12	1	Chaine Eugene
 1819	12	8	Coinchon Pierre
 1819	12	30	Vicq Edouard
 1820	2	18	Lejeune Georges
 1820	2	20	Nadaud Gustave
 1820	3	14	Millont Bernard
 1820	4	9	Marteau Constant
 1820	5	15	Pierrot Joseph
 1820	9	15	Millet Benjamin
 1820	11	4	Mas Joseph
 1821	3	5	Desormes Auguste
 1821	4	2	Norblin Alphonse
 1821	5	21	Martin Maximin
 1821	7	1	Adam Louis
 1821	7	1	Renault Charles
 1821	7	15	Jaquelin Claude
 1821	7	18	Ibert Pierre
 1821	8	9	Huot Hippolyte
 1821	8	21	Baumann Louis
 1821	11	9	Weckerlin Jean
 1821	12	8	Blanckeman Paul
 1822	2	23	Messemer Victor
 1822	2	27	Gautier Jean
 1822	3	7	Masse Victor
 1822	5	20	Hignard Jean
