# YEA	MON	DAY	NAME

 1796	7	16	Corot Jean
 1796	10	22	Michallon Achille
 1798	12	5	Colin Alexandre
 1800	1	12	Lami Eugene
 1800	2	18	Roqueplan Camille
 1800	3	3	Meuret Francois
 1800	3	16	Roger Adolphe
 1800	4	18	Thevenin Claude
 1800	10	3	Leblanc Cl. Theodore
 1801	1	22	Raverat Vincent
 1801	1	27	Marechal Charles
 1801	2	5	Guet Charlemagne
 1801	4	30	Giroux Andre
 1801	7	14	Laurens Jean
 1801	8	13	Lecurieux Jacques
 1801	10	15	Hubert Jean
 1802	2	5	Verboeckhoven Charles
 1802	2	26	Hugo Victor
 1802	2	28	Sturler Franz
 1802	3	12	Amiel Louis
 1802	3	21	Wachsmuth Ferdinand
 1802	3	22	Bernatz Johann
 1802	4	3	Montfort Antoine
 1802	5	11	Raffort Etienne
 1802	11	16	Julien Bernard
 1803	5	9	Foureau Hugues
 1803	6	13	Bigand Auguste
 1803	6	29	Sechan Charles
 1803	7	19	Preyer Johan
 1803	8	13	Quesnel Jean
 1803	8	17	Mennessier Auguste
 1803	8	18	Lapitot Louis
 1803	9	15	Grandville Jean
 1803	10	2	Lansac Francois
 1803	10	3	Huet Paul
 1803	10	24	Comairas Philippe
 1804	1	13	Gavarni Paul
 1804	1	21	Lepaulle Francois
 1804	3	2	Raffet Auguste
 1804	3	17	Ziegler Jules
 1804	4	6	Carbillet Jean
 1804	7	16	Dauzats Adrien
 1804	7	30	Geffroy Edmond
 1804	8	30	Brascassat Jacques
 1804	9	12	Goethals Raymond
 1804	9	30	Hostein Edouard
 1804	10	28	Poterlet Pierre
 1804	12	18	Fleury Francois
 1805	3	4	Blery Eugene
 1805	4	22	Deveria Eugene
 1805	5	24	Boucoiran Numa
 1805	7	8	Mayer Auguste
 1805	7	28	Badin Pierre
 1805	8	25	Jugelet Jean
 1805	11	30	Fonville Nicolas
 1805	12	1	Viardot Leon
 1805	12	6	Pichon Auguste
 1805	12	17	Jourdy Paul
 1805	12	21	Debelle Alexandre
 1805	12	24	Benvignat Charles
 1806	1	6	Gigoux Jean
 1806	1	11	Ducornet Louis
 1806	2	22	Wiertz Antoine
 1806	3	17	Haghe Louis
 1806	3	18	Verheyden Francois
 1806	5	14	Laure Jean
 1806	6	13	Pinel Edouard
 1806	8	9	Giraud Pierre
 1806	8	21	Prieur Romain
 1806	8	28	Decreuse Jean
 1806	9	30	Hesse Alexandre
 1806	11	14	Guichard Joseph
 1806	11	17	Robbe Louis
 1807	3	29	Peyson Pierre
 1807	4	16	Melingue Etienne
 1807	4	17	Achard Jean
 1807	5	26	Roger Eugene
 1807	8	21	Diaz de la Pena Narcisse
 1807	9	16	Murat Jean
 1807	9	5	Schirmer Johann
 1807	10	5	Dutilleux Henri
 1807	10	17	Bouquet Michel
 1807	11	26	Labouchere Pierre
 1807	12	14	Glaize Auguste
 1808	1	21	Riesener Louis
