# YEA	MON	DAY	NAME

 1796	3	30	Ernst Antoine
 1800	5	28	Delehaye Josse
 1801	3	9	Delfosse N
 1802	1	19	Weyer Sylvain
 1803	5	15	Villain Charles
 1804	4	7	Orts Auguste
 1804	4	16	Renard Bruno
 1804	5	3	Kats Jacobs
 1804	9	6	Rolin Hippolyte
 1805	7	3	Nothomb Jean
 1806	7	2	Praet Jules
 1807	6	17	Dechamps Adolphe
 1808	3	16	Dolez Hub
 1810	4	11	Vervoort Desire
 1810	10	19	Malou Jules
 1811	9	4	Delcour Charles
 1812	1	25	Decker Pierre
 1812	3	11	Blusse Oud-Alblas Pieter
 1812	4	24	Frere-Orban Walthere
 1812	5	21	Delprat Felix
 1812	6	7	Vandenpeereboom Alphonse
 1812	6	20	Casembroot Eduard
 1812	12	7	Tets Goudriaan Jacob
 1813	9	15	Boot Cornelis
 1813	12	16	Godefroi Michael
 1814	12	28	Jolles Jolle
 1815	2	18	Liagre Jean
 1816	1	6	Weitzel August
 1816	1	10	Thonissen Jean
 1816	2	17	Willebois Does Pieter
 1816	6	29	Zuylen Nijevelt Jacob
 1816	7	30	Geertsema Johan
 1816	8	15	Borret Edmond
 1816	10	30	Betz Gerardus
 1817	10	27	Thibaut Xavier
 1818	1	8	Wintgens Willem
 1818	2	22	Vries Gerrit
 1818	6	23	Vissering Simon
 1818	9	13	Reenen Gerlach
 1818	12	18	Tack Pierre
 1819	4	3	Trakranen Taack Nicolaas
 1819	10	4	Crispi Francesco
 1819	11	27	Mees Fokko
 1820	10	25	Descamps J
 1821	3	7	Enderlein Hendrik
 1821	11	2	Reyntiens Nicolas
 1821	11	27	Waal Engelbertus
 1822	2	25	Bloem Jacobus
 1822	3	22	Putte Isaac
 1822	9	1	Gratry Guillaume
 1823	1	4	Rees Otto
 1823	1	23	Hartsen Cornelis
 1823	6	15	Cremers Epimachus
 1823	11	9	Lilaar Franciscus
 1824	1	19	Heim H
 1824	6	8	Loudon James
 1824	6	21	Reuther Antoine
 1826	2	24	Lynden Sandenburg Constant
 1826	11	4	Bastert Jacob
 1828	2	21	Delden Albert
 1828	3	13	Tromp Frederik
 1829	8	20	Six Willem
 1830	9	14	Pirmez Eudore
 1830	10	12	Brassine Jacques
 1831	4	21	Picke Carolus
 1831	5	5	Wichers Hendericus
 1832	8	6	Alderwerelt Johan
 1833	10	19	Bert Paul
 1833	11	4	Lantsheere Th
 1834	6	23	Dupont J
 1834	7	19	Gleichman Johann
 1835	1	31	Rolin-Jaequemyns Gustave
 1835	6	5	Heynen Winand
 1835	7	29	Tour Bellinchave Marc
 1835	8	23	Bara Jules
 1836	10	12	Banning Emile
 1837	1	4	Graux Charles
 1837	2	26	Woeste Charles
 1837	5	29	Savornin Lohman Alexandre
 1837	10	5	Surmont Volsberghe Arthur
 1837	10	29	Kuyper Abraham
 1838	1	18	Jacobs Philippe
