# CHRONOLOGICAL ORDER (按照出生日期排列) 
# YEA	MON	DAY	NAME

#此無資料
 1817	3	5	Lebris Jean
 1827	5	28	Menecali Abdon
 1854	8	4	Frassinetti Romeo
 1862	6	3	Rivierre Gaston
 1862	9	12	Petilli Giuseppe
 1864	5	13	Stein Louis
 1865	1	31	Desgrange Henri
 1865	11	16	Cesaroni Anselmo
 1868	10	18	Storero Luigi
 1869	1	2	Malingher Arturo
 1869	1	21	Fouquet Leon
 1869	6	2	Marconnet Charles
 1869	12	26	Cordang Johannes
 1870	10	13	Gaviglio Lelio
 1871	3	21	Piazza Carlo
 1871	7	3	Mazzoleni Ernani
 1871	9	28	Badoglio Pietro
 1872	2	1	Bonzani Alberto
 1872	2	24	Sandras Gustave
 1872	3	13	Delagrange Leon
 1872	4	16	Signorini Tito
 1872	9	12	La Polla Ernesto
 1872	12	1	Protin Robert
 1872	12	20	Faroux Charles
 1873	5	23	Gallina Augusto
 1873	6	16	Marenghi-Marenco Alberto
 1873	9	17	Amand Henri
 1873	10	19	Eden Jacobus
 1873	10	24	Rimet Jules
 1874	1	18	De Masellis Ferdinando
 1874	6	30	Ruggerone Germano
 1874	7	11	Van Den Boorn Charles
 1874	8	14	Puglieschi Ubaldo
 1874	9	2	Pastine Giovanni
 1874	11	28	Bongiovanni Luca
 1875	2	20	Marvingt Marie
 1875	3	6	Dedet Louis
 1875	3	31	Jacquelin Edmond
 1875	4	15	Mercanti Arturo
 1875	4	27	Denti Pirajno Salvatore
 1876	2	8	Schilling Guus
 1876	2	16	Albert Paul
 1876	2	26	Carapezzi Anteo
 1876	5	10	Guinard Paul
 1876	5	29	Parmentier Andre
 1876	8	4	Gilbert Ewinckel Igino
 1876	9	9	Royer-Dupre Henry
 1877	1	14	Bourillon Paul
 1877	1	27	Renaux Eugene
 1877	3	1	Agostoni Umberto
 1877	4	8	Usuelli Celestino
 1877	5	24	Lorin Rene
 1877	7	6	Massy Arnaud
 1877	7	10	Laureati Guilio
 1877	8	4	Carta Egidio
 1877	8	4	Sommer Roger
 1877	8	6	Novellis Coarazze Alberto
 1877	8	27	Moizo Riccardo
 1877	11	12	Ponzio Emanuele
 1877	11	22	Mattioli Nob
 1878	3	31	Cianetti Ettore
 1878	5	10	Andriani Oronzo
 1878	5	26	Neri Giuseppe
 1878	7	16	Corazza Aldo
 1878	7	16	Marazzi Ettore
 1878	11	11	Momo Frederico
 1878	11	21	Castacane Castruccio
 1878	12	23	Quaglia Costantino
 1879	2	19	Armani Armando
 1879	3	30	Sioli Ernesto
 1879	4	17	Gabardini Giuseppe
 1879	4	23	Jooris Henri
 1879	5	19	Bague Edouard
 1879	6	5	Pottier Rene
 1879	6	18	Grogna Louis
 1879	10	4	Agusta Giovanni
 1879	10	10	Calderara Mario
 1879	10	30	Ranza Attilio
 1879	11	20	Salomone Oreste
 1879	12	2	Meijers Henri
 1879	12	11	Falchi Luigino
 1880	1	2	Breguet Louis
 1880	2	5	Voisin Gabriel
 1880	2	8	Beaumont Andre
 1880	7	15	Guidoni Alessandro
 1880	7	25	Ferrari Cristofori
 1880	8	11	De Carolis Ettore
 1880	8	27	Scelzo Luigi
 1880	9	6	Jacometti Ernesto
 1880	9	27	Piccio Pier
 1880	10	28	Picollo Giulio
 1881	2	1	Andrieu Emile
 1881	2	2	Piacenza Guido
 1881	2	25	Benac Gaston
 1881	3	10	Manissero Romolo
 1881	3	24	Viotti Dialma
 1881	5	20	Chiquito Cambo Joseph
 1881	5	29	Messori Carlo
 1881	7	30	Nardini Guido
# 無資料
 1881	8	5	Aubrun Emile
 1881	8	19	Dufourcq Jacques
 1881	10	24	Lancia Vincenzio
 1881	11	21	Georget Emile
 1881	12	12	Matteuci Gino
 1882	1	2	Canelle Fernand
 1882	1	18	Caudron Gaston
 1882	3	1	Surdi Tommaso
 1882	3	5	Piccoli Domenico
 1882	3	21	Oppizzi Pietro
 1882	3	24	Lalu Marcel
 1882	4	15	Happe Maurice
 1882	6	9	Anthoine Emile
 1882	8	31	Bailo Luigi
 1882	9	24	Decugis Max
 1882	10	18	Petit-Breton Lucien
 1882	11	4	Meyer Otto
 1882	11	15	Germot Maurice
 1882	11	21	Kerbaker Ernesto
 1882	12	24	Legagneux Georges
 1883	1	11	Maffeis Carlo
 1883	1	19	Brocco Maurice
 1883	1	23	Lane Gaston
 1883	3	8	Bontemps Louis
 1883	3	23	Nosari Giuseppe
 1883	4	14	Gravina Manfredi
 1883	5	2	Cagno Alessandro
 1883	5	14	Olieslagers Jan
 1883	6	3	Bosio Camillo
 1883	6	9	Fequant Philippe
 1883	7	3	Drigny Emile
 1883	7	19	Paulhan Louis
 1883	8	8	Fossati-Bellani Silvio
 1883	8	8	Lombard Vincenzo
 1883	8	25	Corni Guido
 1883	9	12	Ruett Walter
 1883	9	20	Molfese Manlio
 1883	11	24	Vivaldi-Pasqua Marco
 1883	12	15	Hauwaert Cyriel
 1883	12	20	Grassi Fonseca Amilcare
 1883	12	21	Bayrou Georges
 1884	1	5	Cambier Charles
 1884	1	25	Dupont Albert
 1884	2	4	Savoia Umberto
 1884	3	13	Pozzi Emilio
 1884	3	14	Haeck Kamiel
 1884	4	7	Seres Georges
 1884	4	24	Tabuteau Maurice
 1884	6	2	Minoia Nando
 1884	6	21	Avorio Luigi
 1884	7	1	Caudron Rene
 1884	7	12	Manni Giuseppe
 1884	7	15	Laffont Alexandre
 1884	8	3	Morel Andre
 1884	9	25	Molino Giuseppe
 1884	9	30	Giuliani Dino
 1884	10	2	Camerman Felix
 1884	10	8	Sisto Filippo
 1884	10	10	Vasseur Paul
 1884	11	9	Mandelli Piero
 1884	11	17	Verona Alberto
 1884	11	30	Forgues Fernand
 1884	12	1	Massard Armand
 1884	12	12	Gordesco Mario
 1885	1	8	Garassini-Garbarino Giuseppe
 1885	1	22	Christophe Eugene
 1885	2	20	Vece Francesco
 1885	3	1	Bosio Antonio
 1885	3	14	Lufbery Rauol
 1885	3	23	Le Prieur Yves
 1885	4	8	Cobianchi Mario
 1885	6	4	Gerbi Giovanni
 1885	9	4	Amerigo Stefano
 1885	9	11	Communeau Marcel
 1885	9	16	Hourlier Leon
 1885	9	18	Cadenat Jules
 1885	10	7	Deggiovanni Giovanni
 1885	10	25	Lesage Xavier
 1885	11	10	Longo Vito
 1885	12	15	Mechant Isidor
 1886	1	19	Bellanca Giuseppe
 1886	2	19	Curlo Domenico
 1886	3	4	Bolognesi Domenico
 1886	3	4	Bonazzi Fernando
 1886	3	10	Morane Robert
 1886	3	25	Veen Robert
 1886	4	7	Perrucca Domenico
 1886	7	3	Caproni Gianni
 1886	7	12	Benigni Tullio
 1886	7	25	Graziani del Borgo Carlo
 1886	9	3	Tacchini Guido
 1886	9	27	Gaudin Lucien
 1886	10	24	Turilli Gaetano
 1886	10	26	Calderara Attilio
 1886	11	5	Mezergues Albert
 1886	11	10	Liotta Aurelio
 1886	11	19	Messelis Jules
 1886	12	12	Blanchy Francois
 1887	1	1	Pagano Primo
 1887	1	4	Suglia Cesare
 1887	2	9	Mounicq Paul
 1887	3	2	Maggiora Clemente
 1887	3	4	Berthet Marcel
 1887	3	5	Van Den Berghe Rene
 1887	3	19	Re Umberto
 1887	4	12	Cavara Otello
 1887	5	4	Gallotti Carlo
 1887	5	17	Pourpe Marc
 1887	5	27	Mauriat Paul
 1887	6	8	Berardi Angelo
 1887	6	16	Mosca Francesco
 1887	7	12	Clave Pierre
 1887	8	11	Gregorini Pietro
 1887	8	13	Cavadini Piero
 1887	9	24	Berliri-Zoppi Carlo
 1887	10	22	Gallotti Antonio
 1887	11	22	Bordino Pietro
 1887	11	26	Saeys Louis
 1888	1	1	Pequet Henri
# 無資料
 1888	1	10	Blaise Andre
 1888	2	11	Cornaggia Medici Alfonso
 1888	2	25	Schilles Maurice
 1888	3	5	Mericamp Paul
 1888	3	17	Biondi Luigi
 1888	3	17	Gance Henri
 1888	3	19	Scieux Leon
 1888	3	28	Polpacelli Antonio
 1888	4	1	Alavoine Jean
 1888	4	3	Cattaneo Bartolomeo
 1888	5	9	Baracca Francesco
 1888	5	10	Cecioni Natale
 1888	5	10	Stanzani Mario
 1888	5	21	Lampiano Evasio
 1888	5	29	Michetti Giorgio
 1888	7	3	Gambardella Emmanuel
#無資料
 1888	7	8	Mottiat Louis
 1888	7	19	Tagliasacchi Luigi
 1888	7	26	Moccafiche Mario
 1888	7	28	Ferrario Rosina
 1888	7	31	Caujolle Jean
 1888	8	3	Persyn Alois
 1888	8	28	Pellegrin Aldo
 1888	9	13	Lemercier Andre
 1888	9	15	Ascari Antonio
 1888	9	21	Cattaneo Romano
 1888	10	4	Coupet Lucien
 1888	10	9	Leone Domenico
 1888	10	16	Masson Emiel
 1888	10	29	Marazzani Alberto
 1888	11	5	Spiessens Alfons
 1888	12	2	Verschoore Omer
 1888	12	4	Bregi Henri
 1888	12	21	Bouin Jean
 1889	1	8	Bariquand Georges
 1889	3	2	Larribau Leon
 1889	4	17	Stampe Jean
 1889	4	25	Deman Pol
 1889	5	15	Van De Velde Pier
 1889	5	22	Garino Guido
 1889	5	25	Bourjade Jean
 1889	5	26	Linart Victor
 1889	6	2	Cabruna Erneste
 1889	6	13	Pegoud Adolphe
 1889	7	19	Gilbert Adrien
 1889	7	21	Crosio Tullio
 1889	7	28	Screpante Giuseppe
 1889	8	13	Andre Georges
 1889	8	15	Franquenelle Andre
 1889	9	21	Vagliasindi Pietro
 1889	10	8	Thijs Philippe
 1889	10	17	Weiss Pierre
 1889	10	31	Nogues Maurice
 1889	11	6	Hanot Gabriel
 1889	11	7	Schalbar Auguste
 1889	11	11	Buysse Marcel
 1889	12	20	Niutta Ugo
 1890	1	27	Ruyter Ch
 1890	2	16	De Pinedo Francesco
 1890	2	24	Laghi Ermenegildo
 1890	3	1	Cena Nicolao
 1890	4	2	Redaelli Cesare
 1890	4	22	Lerou Roger
 1890	5	5	Van Der Stuyft Leon
 1890	5	16	Bossoutrot Lucien
 1890	5	19	Casartelli Cesare
 1890	5	21	Pettazzi Pietro
 1890	5	22	Landini Achille
 1890	5	28	Pozzi Giacomo
 1890	7	20	Salarnier Robert
 1890	7	21	Caselli Stefano
 1890	7	22	Gamblin Lucien
 1890	7	25	Heriot Virginie
 1890	8	7	Frantz Joseph
 1890	8	10	Lagache Alfred
 1890	8	24	Deullin Albert
 1890	8	26	Pensuti Emilio
 1890	9	15	Maes Eugene
 1890	9	22	Andreini Michele
 1890	9	30	Gobert Andre
 1890	10	8	Guilbaud Rene
 1890	12	12	Rigal Jean
 1890	12	12	Sebedio Jean
 1890	12	20	Veronesi Alfredo
 1890	12	27	Rossius Jan
 1891	1	2	Daurat Didier
 1891	1	12	Pinna Pietro
 1891	1	24	Bergonzi Piero
 1891	1	29	Van Lerberghe Henri
 1891	1	30	Pricolo Francesco
 1891	2	1	Fucini Mario
 1891	2	10	Mazzucco Renato
 1891	2	25	Barnaba Pier
 1891	3	3	Pasta Alberto
 1891	3	11	Struxiano Philippe
 1891	4	20	Finzi Aldo
 1891	4	24	Grasso Renato
 1891	5	5	Ambrosini Angelo
 1891	6	2	Bever Jef
 1891	6	6	Verbeek Oscar
 1891	6	16	De Baets Cesar
 1891	7	18	Labattut Andre
 1891	7	20	Sala Virgilio
 1891	7	21	Lubin-Lebrere Marcel
 1891	9	4	Brach-Papa Francesco
