# 新版 http://cura.free.fr/gauq/902gdA6.html
# 舊版 http://cura.free.fr/gauq/11gdA6.txt
# Writer 作家 , 1352位

# 有 name , list size = 1285
# 無 name , list size =   67

# PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY	

W	1	F	11	11	1907	19	50	40	0	43N37	1E26	31	TOULOUSE
W	2	F	14	2	1828	22	35	16	0	49N 7	6E11	57	DIEUZE
W	3	F	5	7	1899	19	50	40	0	45N46	4E50	69	SAINTE-FOY-LES-
W	4	F	13	6	1889	20	48	56	0	50N18	2E46	62	SAINT-OMER
W	5	F	4	4	1908	15	50	40	0	48N50	2E11	92	ASNIERES
W	6	F	4	10	1836	22	51	40	0	49N26	2E 5	60	VERBERIE
W	7	F	18	12	1883	14	54	16	0	44N27	1E26	46	CAHORS
W	8	F	4	2	1848	15	34	8	0	43N32	6E28	83	TOULON
W	9	F	10	6	1863	4	41	16	0	48N50	2E11	92	CLICHY-LA-GAREN
W	10	F	3	3	1868	14	59	40	0	48N26	0E 5	61	MORTAGNE-AU-PER
W	11	F	3	10	1886	4	50	28	0	47N 5	2E23	18	LA CHAPELLE-D'A
W	12	F	10	5	1921	10	30	0	0	42N42	2E55	66	PERPIGNAN
W	13	F	22	4	1876	3	59	20	0	45N39	0E10	16	ANGOULEME
W	14	F	24	1	1899	11	0	0	-1	48N35	7E45	67	WOLFISHEIM
W	15!	F	16	6	1847	6	38	32	0	43N18	5E22	13	AIX-EN-PROVENCE
W	16	F	22	5	1839	10	29	40	0	43N14	0E 5	65	TARBES
W	17	F	16	3	1873	17	50	36	0	43N12	2E21	11	CARCASSONNE
W	18	F	6	7	1881	4	57	36	0	44N50	0W34	33	BORDEAUX
W	19	F	20	10	1854	15	1	28	0	49N11	0W22	14	HONFLEUR
W	20	F	20	3	1878	22	22	0	0	49N 0	2E 0	95	MAGNY-EN-VEXIN
W	21	F	18	12	1906	16	50	40	0	43N12	2E21	11	CARCASSONNE
W	22	F	27	2	1915	5	0	0	0	48N42	6E12	54	JOEUF
W	23	F	13	1	1915	1	0	0	0	42N42	2E55	66	ILLE-SUR-LA-TET
W	24	F	5	10	1884	8	50	36	0	43N12	2E21	11	VILLEGAILHENC
W	25	F	1	7	1920	22	0	0	0	45N11	0E44	24	PERIGUEUX
W	26	F	9	12	1860	15	50	40	0	48N50	2E20	75	PARIS
W	27	F	1	7	1848	1	47	40	0	50N39	3E 5	59	DUNKERQUE
W	28	F	23	6	1910	0	50	40	0	44N50	0W34	33	BORDEAUX
W	29	F	26	8	1880	5	10	0	-1	41N54	12E30	I	ROME
W	30	F	6	10	1874	7	38	32	0	43N18	5E22	13	MEYRARGUES
W	31	F	21	12	1899	15	50	40	0	43N51	4E21	30	AULAS
W	32	F	26	6	1843	3	35	0	0	44N 6	6E15	04	SISTERON
W	33	F	5	7	1899	5	50	40	0	48N 7	5E 8	52	VARENNES
W	34	F	6	6	1912	3	0	0	0	48N33	2E40	77	CHELLES
W	35	F	27	2	1884	4	5	0	0	44N 6	6E15	04	DIGNE
W	36	F	16	9	1886	6	29	0	-1	48N35	7E45	67	STRASBOURG
W	37	F	4	9	1896	8	20	40	0	43N18	5E22	13	MARSEILLE
W	38	F	20	3	1827	7	52	32	0	46N17	1E52	23	AUBUSSON
W	39	F	7	11	1913	7	0	0	0	43N18	0W22	64	PAU
W	40	F	26	3	1829	2	40	40	0	43N57	4E50	84	AVIGNON
W	41	F	13	6	1921	19	30	0	0	48N50	2E 8	78	SARTROUVILLE
W	42	F	11	11	1899	18	50	40	0	46N34	3E20	03	MONTLUCON
W	43	F	15	11	1891	16	50	40	0	45N39	0E10	16	ANGOULEME
W	44	F	25	3	1899	2	50	40	0	43N42	7E16	06	ANTIBES
W	45	F	27	7	1900	12	50	40	0	43N18	5E22	13	MARSEILLE
W	46	F	7	7	1863	3	50	28	0	47N 5	2E23	18	SANCOINS
W	47	F	17	9	1820	11	40	24	0	44N56	4E54	26	VALENCE
W	48	F	19	7	1849	8	59	20	0	45N39	0E10	16	MONTBRON
W	49	F	21	1	1912	6	0	0	0	46N19	0W27	79	ST-POMPAIN
W	50	F	29	3	1902	11	50	40	0	47N48	3E35	89	JOIGNY
W	51	F	27	6	1884	10	43	40	0	48N18	4E 5	10	BAR-SUR-AUBE
W	52	F	9	2	1879	18	50	4	0	48N47	2E29	94	VINCENNES
W	53	F	20	5	1799	11	6	40	0	48N 7	1W40	35	TOURS
W	54	F	14	3	1823	21	16	40	0	46N34	3E20	03	MOULINS
W	55	F	2	11	1808	3	4	20	0	49N 7	1W 5	50	ST-SAUVEUR-LE-V
